City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,chivhu,-19.0211,30.8922,14.66,87,81,3.28,ZW,1697598167
166,carnarvon,-24.8667,113.6333,29.3,36,0,7.66,AU,1697598098
167,fort bragg,35.139,-79.006,15.51,82,100,2.0,US,1697598168
168,virginia,37.5481,-77.4467,11.83,91,100,0.0,US,1697598011
169,kapuskasing,49.4169,-82.4331,4.05,100,0,1.54,CA,1697598124
170,el tigre,8.8875,-64.2454,25.88,74,27,3.91,VE,1697598169
171,san andres,12.5847,-81.7006,29.01,84,20,5.14,CO,1697598169
172,bereeda,11.8704,51.0579,26.91,79,35,3.81,SO,1697598169
173,nova sintra,14.8667,-24.7167,25.17,71,1,2.43,CV,1697598170
174,callao,-12.0667,-77.15,20.95,82,75,6.17,PE,1697598170
175,thompson,55.7435,-97.8558,5.09,87,20,1.54,CA,1697598170
176,ola,59.5833,151.2833,-1.99,34,0,5.02,RU,1697598171
177,senak'i,42.2704,42.0675,8.05,65,100,2.03,GE,1697598171
178,rongelap,11.1635,166.8941,28.42,75,19,6.03,MH,1697598171
179,hassi messaoud,31.6804,6.0729,24.38,24,2,4.27,DZ,1697598171
180,sal rei,16.1833,-22.9167,28.02,64,0,3.71,CV,1697598172
181,geraldton,-28.7667,114.6,23.23,56,1,5.14,AU,1697598077
182,atafu village,-8.5421,-172.5159,28.57,72,100,2.38,TK,1697598172
183,queenstown,-31.8976,26.8753,11.58,70,0,1.57,ZA,1697598172
184,nantucket,41.2835,-70.0995,13.03,84,10,2.11,US,1697598173
185,dunedin,-45.8742,170.5036,13.78,66,49,2.24,NZ,1697598050
186,udachny,66.4167,112.4,-9.4,86,94,6.94,RU,1697598173
187,filey,54.21,-0.2892,12.66,83,100,4.02,GB,1697598174
188,tirodi,21.6833,79.7,25.38,66,3,1.39,IN,1697598174
189,dudinka,69.4058,86.1778,-0.18,98,100,2.68,RU,1697598174
190,kiunga,-6.1219,141.2906,23.89,94,100,0.77,PG,1697598174
191,fuerte olimpo,-21.0415,-57.8738,31.09,33,52,2.38,PY,1697598175
192,behbahan,30.5959,50.2417,22.21,25,0,1.56,IR,1697598175
